time=2025-10-13T12:52:33.040751Z level=INFO msg="Starting MXIK unit_code sync job"
time=2025-10-16T12:45:18.062391Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-16T12:45:44.979665Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-16T12:46:36.532186Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-16T13:36:29.092035Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-16T13:38:51.289172Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-17T11:50:57.11779Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-17T13:14:12.656779Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-17T13:51:41.759097Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-17T13:52:53.063925Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-17T13:54:06.546277Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-17T13:56:15.943072Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T01:34:40.593332Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T11:04:51.045504Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T11:18:13.539155Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T11:21:20.713053Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T11:28:27.154427Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T11:33:37.075877Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-18T14:38:39.573258Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:17:20.356719Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:22:05.60716Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:24:04.425409Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:27:43.287897Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:29:17.85539Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:31:24.184836Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:32:05.187585Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:33:23.735947Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:34:53.57081Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:39:46.1338Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:45:44.762605Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:52:46.618637Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T09:55:14.6947Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T10:01:50.640242Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T11:05:31.84918Z level=INFO msg="app - Run - signal: interrupt"
time=2025-10-20T18:01:37.019825Z level=INFO msg="app - Run - signal: interrupt"
